			QTY	REF DES																				
EEE-1VA101XP	100uF	PANASONIC_D	7	C1	 C2	 C5	 C45	 C51	 C57	 C63														
CAP_1206	1uF	CAP_1206	1	C3																				
CAP_0603	10uF	CAP_0603	9	C4	 C6	 C7	 C9	 C10	 C40	 C46	 C52	 C58												
CAP_0603	1uF	CAP_0603	2	C8	 C26																			
CAP_1206	10uF	CAP_1206	1	C11																				
CAP_1206	47uF	CAP_1206	3	C12	 C16	 C17																		
CAP_0603	0.1uF	CAP_0603	21	C13	 C14	 C15	 C20	 C25	 C27	 C28	 C34	 C35	 C41	 C42	 C44	 C47	 C48	 C50	 C53	 C54	 C56	 C59	 C60	 C62
CAP_0603	N/A	CAP_0603	2	C18	 C23																			
CAP_0603	2.7nF	CAP_0603	2	C19	 C24																			
CAP_1206	47uF	CAP_1206	2	C21	 C22																			
06031A150JAT2A	15pF 	CAP_0603	2	C32	 C36																			
CAP_1206	1uF	CAP_1206	1	C33																				
CAP_0603	0.22uF	CAP_0603	4	C43	 C49	 C55	 C61																	
KPJX-3S/ KPJX-4S	KPJX-3S-S	KPJX-3S or KPJX-4S	1	CN1																				
USB-B-TH	AU-Y1007-R	AU-Y1007-R	1	CN2																				
1X4 0.1in Friction Lock	71856-0004	4Pin 0.100 Molex Ramp	4	CN3	 CN4	 CN5	 CN6																	
2PIN HEADER 0.156	640445-2	HDR-1x2 0.156	2	CN7	 CN8																			
1X2 0.1in Friction Lock	171856-0002	2Pin 0.100 Molex Ramp	8	CN9	 CN14	 CN15	 CN17	 CN18	 CN19	 CN20	 CN21													
1X3 0.1in Friction Lock	171856-0003	3Pin 0.100 Molex Ramp	4	CN10	 CN11	 CN12	 CN13																	
1X3 0.1in Friction Lock	70545-0037 	3Pin Molex 70545-0037 	1	CN16																				
LED	LGQ971-KN-N	DIO_0603	4	D1	 D4	 D5	 D6																	
SBR2U30P1	SBR2U30P1	SOD-123 / PowerDI123	3	D2	 D3	 D8																		
FUSE	SST 7	SST	1	F1																				
IND_0805	CIS21P300NE	IND_0805	3	FB1	 FB2	 FB3																		
TF??	TF??	TF??	1	J1																				
CC1X5M 2MM	440054-5	440054-5	3	J2	 J3	 JP1																		
CC1X3M 2MM	440054-3	440054-31x3	1	J4																				
2x3 .100in	67998-406HLF	HDR-2x3	2	JP2	 JP4																			
BOOT	68602-402HLF	HDR-1x2	2	JP3	 JP6																			
CC1X5M 2MM	440054-5	440054-5	1	JP7																				
Yaiyo Yuden 10050	NR10050T100M	Yaiyo Yuden 10050	2	L1	 L2																			
MOSFETN	MMBF170LT1G	SOT23	5	Q1	 Q2	 Q6	 Q7	 Q8																
MOSFET-N TO-252	FDD8876	TO-252-A03	2	Q3	 Q4																			
MOSFETN	NX2301P	215	SOT23	1	Q5																			
RES_0603	330	RES_0603	8	R1	 R20	 R21	 R22	 R23	 R32	 R33	 R43													
RES_0603	100	RES_0603	2	R2	 R37																			
RES_0603	100K	RES_0603	16	R3	 R4	 R7	 R8	 R12	 R13	 R19	 R38	 R46	 R47	 R53	 R54	 R60	 R61	 R67	 R68					
RES_0805	0.11	RES_0805	8	R5	 R6	 R11	 R14	 R15	 R16	 R17	 R18													
RES_0603	4.7K	RES_0603	2	R9	 R51																			
RES_0603	22	RES_0603	2	R10	 R57																			
RES_0603	52.3k	RES_0603	1	R24																				
RES_0603	10k	RES_0603	11	R25	 R27	 R29	 R31	 R34	 R39	 R42	 R45	 R52	 R59	 R66										
RES_0603	18.2K	RES_0603	2	R26	 R30																			
RES_0603	140k	RES_0603	1	R28																				
RES_0603	0	RES_0603	6	R35	 R36	 R40	 R44	 R50	 R58															
RES_0603	1k	RES_0603	1	R41																				
RES_0603	20k	RES_0603	4	R48	 R55	 R62	 R69																	
ST-4ETB	10k	ST-4EB	4	R49	 R56	 R63	 R70																	
SOLDERJUMPER_2WAYCONNECTED		SJ_3_CONNECTED	4	SJ1	 SJ2	 SJ3	 SJ4																	
TESTPOINT		Testpoint	2	TP1	 TP2																			
AT90USB1286_TQFP	AT90USB1286	QFP-64/16x16x0.8	1	U1																				
AT90USB1286_QFN	AT90USB1286	QFN-64/9x9x0.5	1	U2																				
ATTINY2313_MLF	ATTINY2313A-MUR	QFN-20/4x4x0.5	1	U3																				
MC74VHC1G14DFT1		SOT353	1	U4																				
AOZ1212DI/AI	AOZ1212DI/AI	SO-8/DFN nested	2	U5	 U6																			
AP7313	AP7313-33SAG-7	SOT23	1	U7																				
TXB0104	TXB0104	TSSOP-14	1	U8																				
A4982SETTR-T	A4982SETTR-T	QFN-32/5x5x9	4	U9	 U10	 U11	 U12																	
L78M05CDT-TR	L78M05CDT-TR	TO252-3(4)/10x6.6x2.28	1	U13																				
ATTINY2313_SOIC	ATTINY2313A-MUR	SOIC-20/300mil	1	U14																				
ABM3	ABM3-16.000MHZ-D2Y-T	AMB3	1	X1																				
