RefDes,X (mil),Y (mil),Side,Rotate
C1,2010,2598,Top,90
C2,2011,3117.5,Top,90
C3,1069.9,2325,Top,180
C4,811,1384.5,Top,270
C5,746.5,3220,Top,0
C6,751.5,2853,Top,180
C7,1351.5,1018,Top,0
C8,751.5,2797,Top,180
C9,1036.5,417,Top,180
C10,1327,451,Top,180
C11,342.4,1587.5,Top,180
C12,699.5,487.4,Top,270
C13,1041.5,1477.5,Top,180
C14,1533.5,2331,Top,0
C15,752.5,2742,Top,180
C16,1134.1,2965,Top,180
C17,2217.5,2559.9,Top,270
C18,980.5,2476,Top,90
C19,989.5,2834,Top,180
C20,1341.5,2615,Top,270
C21,1121.9,2457,Top,180
C22,2203,3085.9,Top,270
C23,989.2,2993.5,Top,90
C24,1035.5,3346,Top,180
C25,1367.2,3118.5,Top,270
C26,930,481.7,Top,270
C27,825,479.2,Top,270
C28,1324,591.5,Top,90
C32,1442.5,1396.5,Top,270
C33,342.4,1480,Top,180
C34,952.5,2273.5,Top,90
C35,1380.5,2329,Top,180
C36,1122.5,1391.5,Top,270
C37,573.5,1811,Top,180
C40,2827,3136.5,Top,270
C41,2871.5,3470,Top,180
C42,2996,3491.5,Top,270
C43,2732.5,3355,Top,180
C44,2785,3486.5,Top,270
C45,3027.5,2954,Top,0
C46,2827,2330.5,Top,270
C47,2871.5,2664,Top,180
C48,2996,2685.5,Top,270
C49,2732.5,2549,Top,180
C50,2785,2680.5,Top,270
C51,3027.5,2148,Top,0
C52,2825.7,1532.5,Top,270
C53,2870.2,1865.9,Top,180
C54,2994.7,1887.5,Top,270
C55,2731.2,1750.9,Top,180
C56,2783.7,1882.5,Top,270
C57,3026.2,1349.9,Top,0
C58,2826,734.5,Top,270
C59,2870.5,1068,Top,180
C60,2995,1089.5,Top,270
C61,2731.5,953,Top,180
C62,2784,1084.5,Top,270
C63,3026.5,552,Top,0
CN1,-157.5,3000,Top,270
CN2,243.1,2000,Top,270
CN3,3372,3305,Top,90
CN4,3372,2499,Top,90
CN5,3370.7,1700.9,Top,90
CN6,3371,903,Top,90
CN7,702,3808,Top,0
CN8,1363,3808,Top,0
CN9,1651,3795,Top,0
CN10,3229,245,Top,180
CN11,2420,248,Top,180
CN12,2083,245,Top,180
CN13,1737,245,Top,180
CN14,1459,244,Top,180
CN15,1236,243,Top,180
CN16,755,245.1,Top,180
CN17,2115,3797,Top,0
CN18,1882,3797,Top,0
CN19,3299,3799,Top,0
CN20,3073,3798,Top,0
CN21,2406,3799,Top,0
D1,2071.5,2832.5,Top,180
D2,1326,2972,Top,180
D3,1319,2456.2,Top,180
D4,2068.5,3344,Top,180
D5,1221.5,1113,Top,0
D6,1252.5,1252,Top,0
D8,693,1035.2,Top,90
F1,734.4,3003,Top,0
FB1,191.6,3435,Top,0
FB2,538,1718.4,Top,270
FB3,321.6,3437,Top,0
J1,217.7,1000,Top,270
J2,2390,2551.5,Top,270
J3,2390,3071.5,Top,270
J4,152,1508.1,Top,270
JP1,677.5,2080.5,Top,90
JP2,834,1630,Top,270
JP3,2057.5,1892.5,Top,0
JP4,954,1151,Top,0
JP6,496,2302,Top,180
JP7,1558,985.5,Top,270
L1,1646.5,2648,Top,0
L2,1651.5,3165,Top,0
Q1,2234.9,650.3,Top,90
Q2,2004.9,652.8,Top,90
Q3,1403,3544,Top,270
Q4,811,3535,Top,270
Q5,530.1,459.7,Top,270
Q6,1734.6,3568.7,Top,270
Q7,2204.6,3567.7,Top,270
Q8,1970.6,3565.7,Top,270
R1,1352.5,1115,Top,0
R2,451,3605.5,Top,90
R3,1040,3474.5,Top,90
R4,1977.5,3454,Top,0
R5,3169,3210.6,Top,0
R6,3169.4,3398,Top,0
R7,999,1590,Top,180
R8,2046,1987.5,Top,0
R9,1142,451.5,Top,270
R10,858.5,2011,Top,180
R11,3169,2404.6,Top,0
R12,1745.5,3456,Top,0
R13,647.5,872,Top,0
R14,3169.4,2592,Top,0
R15,3167.7,1606.5,Top,0
R16,3168.1,1793.9,Top,0
R17,3168,808.6,Top,0
R18,3168.4,996,Top,0
R19,451,3470.5,Top,90
R20,3025.5,327,Top,90
R21,2365.5,451,Top,180
R22,2079,452.5,Top,180
R23,1673.5,458,Top,0
R24,1343.5,2829,Top,0
R25,1207.5,2829,Top,0
R26,905,2797.5,Top,270
R27,904,2656.5,Top,270
R28,1359.5,3338,Top,0
R29,1237.5,3338,Top,0
R30,943,3305.5,Top,270
R31,943,3160.5,Top,270
R32,1929,2832.5,Top,180
R33,1937.5,3342,Top,180
R34,2236,510,Top,0
R35,1019,1375,Top,90
R36,770.5,1291,Top,180
R37,1040,3607.5,Top,90
R38,2220.5,3457,Top,0
R39,1324,916.5,Top,270
R40,1880.5,3566.5,Top,90
R41,1378,916.5,Top,270
R42,1803.5,548,Top,0
R43,1374.5,1253,Top,0
R44,650.5,764,Top,180
R45,2733.5,3274,Top,0
R46,2548.5,3255,Top,0
R47,2550.5,3501,Top,0
R48,2537.5,2848,Top,180
R49,2570.7,3043.1,Top,90
R50,645.5,675,Top,180
R51,1486,486.5,Top,270
R52,2733.5,2468,Top,0
R53,2548.5,2449,Top,0
R54,2550.5,2695,Top,0
R55,2537.5,2042,Top,180
R56,2570.7,2237.1,Top,90
R57,858.5,2058,Top,180
R58,872.5,2189,Top,270
R59,2732.2,1669.9,Top,0
R60,2547.2,1650.9,Top,0
R61,2549.3,1896.9,Top,0
R62,2536.3,1243.9,Top,180
R63,2569.5,1439,Top,90
R64,2084.5,2139,Top,180
R66,2732.5,872,Top,0
R67,2547.5,853,Top,0
R68,2549.5,1099,Top,0
R69,2536.5,446,Top,180
R70,2569.7,641.1,Top,90
SJ1,2583,3391,Top,270
SJ2,2583,2585,Top,270
SJ3,2581.7,1786.9,Top,270
SJ4,2582,989,Top,270
U1,1314.1,1907.8,Top,0
U2,1296.3,1939.4,Top,0
U3,1006.9,812.3,Top,90
U4,1344.4,728.7,Top,270
U5,1112,2668,Top,180
U6,1140,3175,Top,180
U7,909.7,1372.4,Top,180
U8,621.8,1456.2,Top,90
U9,2969.4,3305.1,Top,270
U10,2969.4,2499.1,Top,270
U11,2968.1,1701,Top,270
U12,2968.4,903.1,Top,270
U13,477.6,2492.8,Top,180
U14,1014,806,Top,90
X1,1281.8,1402.5,Top,180
