RefDes,Name,X (mil),Y (mil),Side,Rotate,Value
C1,EEE-1VA101XP,2010,2598,Top,90,100uF
C2,EEE-1VA101XP,2011,3117.5,Top,90,100uF
C3,CAP_1206,1069.9,2325,Top,180,1uF
C4,CAP_0603,811,1384.5,Top,270,10uF
C5,EEE-1VA101XP,746.5,3220,Top,0,100uF
C6,CAP_0603,751.5,2853,Top,180,10uF
C7,CAP_0603,1351.5,1018,Top,0,10uF
C8,CAP_0603,751.5,2797,Top,180,1uF
C9,CAP_0603,1036.5,417,Top,180,10uF
C10,CAP_0603,1327,451,Top,180,10uF
C11,CAP_1206,342.4,1587.5,Top,180,10uF
C12,CAP_1206,699.5,487.4,Top,270,47uF
C13,CAP_0603,1041.5,1477.5,Top,180,0.1uF
C14,CAP_0603,1533.5,2331,Top,0,0.1uF
C15,CAP_0603,752.5,2742,Top,180,0.1uF
C16,CAP_1206,1134.1,2965,Top,180,47uF
C17,CAP_1206,2217.5,2559.9,Top,270,47uF
C18,CAP_0603,980.5,2476,Top,90,1uF
C19,CAP_0603,989.5,2834,Top,180,2.7nF
C20,CAP_0603,1341.5,2615,Top,270,0.1uF
C21,CAP_1206,1121.9,2457,Top,180,47uF
C22,CAP_1206,2203,3085.9,Top,270,47uF
C23,CAP_0603,989.2,2993.5,Top,90,1uF
C24,CAP_0603,1035.5,3346,Top,180,2.7nF
C25,CAP_0603,1367.2,3118.5,Top,270,0.1uF
C26,CAP_0603,930,481.7,Top,270,1uF
C27,CAP_0603,825,479.2,Top,270,0.1uF
C28,CAP_0603,1324,591.5,Top,90,0.1uF
C32,06031A150JAT2A,1442.5,1396.5,Top,270,15pF 
C33,CAP_1206,342.4,1480,Top,180,1uF
C34,CAP_0603,952.5,2273.5,Top,90,0.1uF
C35,CAP_0603,1380.5,2329,Top,180,0.1uF
C36,06031A150JAT2A,1122.5,1391.5,Top,270,15pF 
C37,CAP_0603,573.5,1811,Top,180,1uF
C40,CAP_0603,2827,3136.5,Top,270,10uF
C41,CAP_0603,2871.5,3470,Top,180,0.1uF
C42,CAP_0603,2996,3491.5,Top,270,0.1uF
C43,CAP_0603,2732.5,3355,Top,180,0.22uF
C44,CAP_0603,2785,3486.5,Top,270,0.1uF
C45,EEE-1VA101XP,3027.5,2954,Top,0,100uF
C46,CAP_0603,2827,2330.5,Top,270,10uF
C47,CAP_0603,2871.5,2664,Top,180,0.1uF
C48,CAP_0603,2996,2685.5,Top,270,0.1uF
C49,CAP_0603,2732.5,2549,Top,180,0.22uF
C50,CAP_0603,2785,2680.5,Top,270,0.1uF
C51,EEE-1VA101XP,3027.5,2148,Top,0,100uF
C52,CAP_0603,2825.7,1532.5,Top,270,10uF
C53,CAP_0603,2870.2,1865.9,Top,180,0.1uF
C54,CAP_0603,2994.7,1887.5,Top,270,0.1uF
C55,CAP_0603,2731.2,1750.9,Top,180,0.22uF
C56,CAP_0603,2783.7,1882.5,Top,270,0.1uF
C57,EEE-1VA101XP,3026.2,1349.9,Top,0,100uF
C58,CAP_0603,2826,734.5,Top,270,10uF
C59,CAP_0603,2870.5,1068,Top,180,0.1uF
C60,CAP_0603,2995,1089.5,Top,270,0.1uF
C61,CAP_0603,2731.5,953,Top,180,0.22uF
C62,CAP_0603,2784,1084.5,Top,270,0.1uF
C63,EEE-1VA101XP,3026.5,552,Top,0,100uF
CN1,KPJX-3S/ KPJX-4S,-157.5,3000,Top,270,KPJX-3S-S
CN2,USB-B-TH,243.1,2000,Top,270,AU-Y1007-R
CN3,1X4 0.1in Friction Lock,3372,3305,Top,90,71856-0004
CN4,1X4 0.1in Friction Lock,3372,2499,Top,90,71856-0004
CN5,1X4 0.1in Friction Lock,3370.7,1700.9,Top,90,71856-0004
CN6,1X4 0.1in Friction Lock,3371,903,Top,90,71856-0004
CN7,2PIN HEADER 0.156,702,3808,Top,0,640445-2
CN8,2PIN HEADER 0.156,1363,3808,Top,0,640445-2
CN9,1X2 0.1in Friction Lock,1651,3795,Top,0,171856-0002
CN10,1X3 0.1in Friction Lock,3229,245,Top,180,171856-0003
CN11,1X3 0.1in Friction Lock,2420,248,Top,180,171856-0003
CN12,1X3 0.1in Friction Lock,2083,245,Top,180,171856-0003
CN13,1X3 0.1in Friction Lock,1737,245,Top,180,171856-0003
CN14,1X2 0.1in Friction Lock,1459,244,Top,180,171856-0002
CN15,1X2 0.1in Friction Lock,1236,243,Top,180,171856-0002
CN16,1X3 0.1in Friction Lock,755,245.1,Top,180,70545-0037 
CN17,1X2 0.1in Friction Lock,2115,3797,Top,0,171856-0002
CN18,1X2 0.1in Friction Lock,1882,3797,Top,0,171856-0002
CN19,1X2 0.1in Friction Lock,3299,3799,Top,0,171856-0002
CN20,1X2 0.1in Friction Lock,3073,3798,Top,0,171856-0002
CN21,1X2 0.1in Friction Lock,2406,3799,Top,0,171856-0002
D1,LED,2071.5,2832.5,Top,180,LGQ971-KN-N
D2,SBR2U30P1,1326,2972,Top,180,SBR2U30P1
D3,SBR2U30P1,1319,2456.2,Top,180,SBR2U30P1
D4,LED,2068.5,3344,Top,180,LGQ971-KN-N
D5,LED,1221.5,1113,Top,0,LGQ971-KN-N
D6,LED,1252.5,1252,Top,0,LGQ971-KN-N
D8,SBR2U30P1,693,1035.2,Top,90,SBR2U30P1
F1,FUSE,734.4,3003,Top,0,SST 7
FB1,IND_0805,191.6,3435,Top,0,CIS21P300NE
FB2,IND_0805,538,1718.4,Top,270,CIS21P300NE
FB3,IND_0805,321.6,3437,Top,0,CIS21P300NE
J1,TF??,217.7,1000,Top,270,TF??
J2,CC1X5M 2MM,2390,2551.5,Top,270,440054-5
J3,CC1X5M 2MM,2390,3071.5,Top,270,440054-5
J4,CC1X3M 2MM,152,1508.1,Top,270,440054-3
JP1,CC1X5M 2MM,677.5,2080.5,Top,90,440054-5
JP2,2x3 .100in,834,1630,Top,270,67998-406HLF
JP3,BOOT,2057.5,1892.5,Top,0,68602-402HLF
JP4,2x3 .100in,954,1151,Top,0,67998-406HLF
JP6,,496,2302,Top,180,68602-402HLF
JP7,CC1X5M 2MM,1558,985.5,Top,270,440054-5
L1,Yaiyo Yuden 10050,1646.5,2648,Top,0,NR10050T100M
L2,Yaiyo Yuden 10050,1651.5,3165,Top,0,NR10050T100M
Q1,MOSFETN,2234.9,650.3,Top,90,MMBF170LT1G
Q2,MOSFETN,2004.9,652.8,Top,90,MMBF170LT1G
Q3,MOSFET-N TO-252,1403,3544,Top,270,FDD8876
Q4,MOSFET-N TO-252,811,3535,Top,270,FDD8876
Q5,MOSFETN,530.1,459.7,Top,270,NX2301P,215
Q6,MOSFETN,1734.6,3568.7,Top,270,MMBF170LT1G
Q7,MOSFETN,2204.6,3567.7,Top,270,MMBF170LT1G
Q8,MOSFETN,1970.6,3565.7,Top,270,MMBF170LT1G
R1,RES_0603,1352.5,1115,Top,0,330
R2,RES_0603,451,3605.5,Top,90,100
R3,RES_0603,1040,3474.5,Top,90,100K
R4,RES_0603,1977.5,3454,Top,0,100K
R5,RES_0805,3169,3210.6,Top,0,0.11
R6,RES_0805,3169.4,3398,Top,0,0.11
R7,RES_0603,999,1590,Top,180,100k
R8,RES_0603,2046,1987.5,Top,0,100k
R9,RES_0603,1142,451.5,Top,270,4.7K
R10,RES_0603,858.5,2011,Top,180,22
R11,RES_0805,3169,2404.6,Top,0,0.11
R12,RES_0603,1745.5,3456,Top,0,100K
R13,RES_0603,647.5,872,Top,0,100k
R14,RES_0805,3169.4,2592,Top,0,0.11
R15,RES_0805,3167.7,1606.5,Top,0,0.11
R16,RES_0805,3168.1,1793.9,Top,0,0.11
R17,RES_0805,3168,808.6,Top,0,0.11
R18,RES_0805,3168.4,996,Top,0,0.11
R19,RES_0603,451,3470.5,Top,90,100K
R20,RES_0603,3025.5,327,Top,90,330
R21,RES_0603,2365.5,451,Top,180,330
R22,RES_0603,2079,452.5,Top,180,330
R23,RES_0603,1673.5,458,Top,0,330
R24,RES_0603,1343.5,2829,Top,0,52.3k
R25,RES_0603,1207.5,2829,Top,0,10k
R26,RES_0603,905,2797.5,Top,270,18.2K
R27,RES_0603,904,2656.5,Top,270,10k
R28,RES_0603,1359.5,3338,Top,0,140k
R29,RES_0603,1237.5,3338,Top,0,10k
R30,RES_0603,943,3305.5,Top,270,18.2k
R31,RES_0603,943,3160.5,Top,270,10k
R32,RES_0603,1929,2832.5,Top,180,330
R33,RES_0603,1937.5,3342,Top,180,330
R34,RES_0603,2236,510,Top,0,10k
R35,RES_0603,1019,1375,Top,90,0
R36,RES_0603,770.5,1291,Top,180,NA 0
R37,RES_0603,1040,3607.5,Top,90,100
R38,RES_0603,2220.5,3457,Top,0,100K
R39,RES_0603,1324,916.5,Top,270,10K
R40,RES_0603,1880.5,3566.5,Top,90,0 NA
R41,RES_0603,1378,916.5,Top,270,1k
R42,RES_0603,1803.5,548,Top,0,10k
R43,RES_0603,1374.5,1253,Top,0,330
R44,RES_0603,650.5,764,Top,180,0/DNP
R45,RES_0603,2733.5,3274,Top,0,10K
R46,RES_0603,2548.5,3255,Top,0,100k
R47,RES_0603,2550.5,3501,Top,0,100k
R48,RES_0603,2537.5,2848,Top,180,20k
R49,ST-4ETB,2570.7,3043.1,Top,90,10k
R50,RES_0603,645.5,675,Top,180,0/DNP
R51,RES_0603,1486,486.5,Top,270,4.7K
R52,RES_0603,2733.5,2468,Top,0,10K
R53,RES_0603,2548.5,2449,Top,0,100k
R54,RES_0603,2550.5,2695,Top,0,100k
R55,RES_0603,2537.5,2042,Top,180,20k
R56,ST-4ETB,2570.7,2237.1,Top,90,10k
R57,RES_0603,858.5,2058,Top,180,22
R58,RES_0603,872.5,2189,Top,270,NA 0
R59,RES_0603,2732.2,1669.9,Top,0,10K
R60,RES_0603,2547.2,1650.9,Top,0,100k
R61,RES_0603,2549.3,1896.9,Top,0,100k
R62,RES_0603,2536.3,1243.9,Top,180,20k
R63,ST-4ETB,2569.5,1439,Top,90,10k
R64,RES_0603,2084.5,2139,Top,180,0
R66,RES_0603,2732.5,872,Top,0,10K
R67,RES_0603,2547.5,853,Top,0,100k
R68,RES_0603,2549.5,1099,Top,0,100k
R69,RES_0603,2536.5,446,Top,180,20k
R70,ST-4ETB,2569.7,641.1,Top,90,10k
SJ1,SOLDERJUMPER_2WAYCONNECTED,2583,3391,Top,270,
SJ2,SOLDERJUMPER_2WAYCONNECTED,2583,2585,Top,270,
SJ3,SOLDERJUMPER_2WAYCONNECTED,2581.7,1786.9,Top,270,
SJ4,SOLDERJUMPER_2WAYCONNECTED,2582,989,Top,270,
U1,AT90USB1286_TQFP,1314.1,1907.8,Top,0,AT90USB1286
U2,AT90USB1286_QFN,1296.3,1939.4,Top,0,AT90USB1286
U3,ATTINY2313_MLF,1006.9,812.3,Top,90,ATTINY2313A-MUR
U4,MC74VHC1G14DFT1,1344.4,728.7,Top,270,
U5,AOZ1212DI/AI,1112,2668,Top,180,AOZ1212DI/AI
U6,AOZ1212DI/AI,1140,3175,Top,180,AOZ1212DI/AI
U7,AP7313,909.7,1372.4,Top,180,AP7313-33SAG-7
U8,TXB0104,621.8,1456.2,Top,90,TXB0104
U9,A4982SETTR-T,2969.4,3305.1,Top,270,A4982SETTR-T
U10,A4982SETTR-T,2969.4,2499.1,Top,270,A4982SETTR-T
U11,A4982SETTR-T,2968.1,1701,Top,270,A4982SETTR-T
U12,A4982SETTR-T,2968.4,903.1,Top,270,A4982SETTR-T
U13,L78M05CDT-TR,477.6,2492.8,Top,180,L78M05CDT-TR
U14,ATTINY2313_SOIC,1014,806,Top,90,ATTINY2313A-MUR
X1,ABM3,1281.8,1402.5,Top,180,ABM3-16.000MHZ-D2Y-T
